u_id,u_teamid,belief1,belief2,belief3,belief4,belief5,belief6,belief7,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,stat1,stat2,stat3,stat4,stat5,stat6,stat7,pro_immigrant,Group.1,Hsup,stats,topic,belief,immig,concl
112,54,2,3,2,2,2,2,2,1,1,3,2,1,0,0,0,0,4,4,3,1,5,3,3,4,54,0,0.6557299987404885,-0.004269304242956108,-0.41576083640202605,-0.2965517241379336,-0.20975056689342544
113,54,3,3,2,3,3,2,3,3,1,3,4,1,0,0,0,0,4,4,4,2,4,3,1,5,54,0,0.2186808064948766,0.13664383646625256,0.3149703571605575,0.7034482758620697,-0.20975056689342403
114,54,2,4,2,2,2,3,2,2,1,2,5,1,0,0,0,1,4,4,3,1,4,1,1,5,54,0,0.02636352656498136,0.13698217797799328,-0.32150283527947887,0.7034482758620694,-0.20975056689342464
116,56,2,3,2,2,2,2,2,1,1,1,4,0,0,0,0,0,4,4,4,12,4,3,3,4,56,0.5,0.6317932031569656,-0.14319253524295206,-0.42030846997579047,-0.29655172413792996,0.2902494331065762
12,5,2,3,2,2,3,2,3,1,1,3,4,1,0,0,0,0,2,3,4,1,4,1,2,4,5,0,-0.21580623423470519,-0.02011838241797112,-0.10841572184990013,-0.29655172413793307,-0.20975056689342514
120,58,2,3,1,2,2,2,3,1,1,1,4,1,0,0,0,0,3,2,4,1,4,1,2,4,58,0.6666666666666666,-0.1671665896598825,-0.10606991130871599,-0.3655477819046995,-0.29655172413793085,0.45691609977324293
121,58,2,3,1,2,2,3,2,1,1,2,4,0,0,0,0,0,2,3,3,2,4,1,3,4,58,0.6666666666666666,-0.14704608250385134,-0.1309003883859028,-0.4323372636519896,-0.2965517241379323,0.4569160997732423
122,58,3,3,2,3,3,4,3,2,1,1,5,1,0,0,0,1,1,3,3,1,3,2,1,6,58,0.6666666666666666,-0.7436369434275203,0.04796523300564664,0.4389861327480052,1.70344827586207,0.4569160997732427
123,59,3,3,3,3,3,3,3,1,1,1,2,0,0,0,0,0,3,3,2,3,4,2,2,3,59,0,-0.1425297937749778,-0.30487998520798915,0.41480712921408264,-1.2965517241379332,-0.2097505668934243
124,60,2,3,1,1,2,2,3,1,1,1,5,0,0,0,0,0,2,4,1,3,3,1,3,1,60,0,-0.4306323665021389,-0.23239442001136246,-0.5908192720930251,-3.2965517241379327,-0.20975056689342386
125,61,2,3,1,2,2,3,2,1,1,1,2,0,0,0,0,0,4,4,3,9,4,3,2,5,61,0,0.3859797782655153,-0.27688597261026626,-0.4263776797552219,0.7034482758620696,-0.20975056689342422
127,61,2,1,1,2,3,3,2,2,3,3,4,1,0,0,0,0,4,4,3,12,5,3,3,6,61,0,0.948758189478908,0.28105061537137555,-0.2804902829721214,1.7034482758620704,-0.20975056689342472
128,62,1,3,4,1,2,4,2,1,1,1,5,1,0,0,0,0,3,3,2,1,3,1,1,5,62,0.5,-0.5670519404712254,-0.13425222699623834,-0.5524584996148857,0.7034482758620701,0.2902494331065757
129,62,2,3,1,2,1,3,3,1,1,2,4,1,0,0,0,0,4,4,3,4,4,1,2,5,62,0.5,0.17605334870479925,-0.024299464068066566,-0.4840349896328058,0.7034482758620694,0.290249433106576
13,6,2,4,4,2,2,3,2,1,1,1,2,1,0,0,0,0,3,4,3,2,3,1,1,5,6,1,-0.46026153567619454,-0.17419456247803822,-0.1713841384009179,0.7034482758620693,0.7902494331065764
130,62,2,3,3,2,2,3,2,3,1,3,4,1,1,0,0,0,4,4,3,3,3,1,3,6,62,0.5,0.1185888290379453,0.4113736205811105,-0.2540058995016063,1.7034482758620726,0.2902494331065761
134,64,2,3,4,2,3,4,3,1,1,1,2,0,0,0,0,0,1,2,4,1,2,1,1,2,64,0,-1.1854037631510037,-0.39769545569205345,0.12809343446298638,-2.2965517241379314,-0.20975056689342444
135,64,2,3,2,2,2,3,2,1,1,1,5,1,0,0,0,0,2,4,4,1,3,1,1,5,64,0,-0.5407355852294692,-0.17080299220231399,-0.33099524112903017,0.7034482758620689,-0.20975056689342417
136,65,2,1,1,3,3,2,3,3,3,3,5,1,0,0,0,0,3,3,3,12,4,2,3,4,65,0.6666666666666666,0.3692505248536615,0.3887972789363745,-0.039021419266232454,-0.29655172413792824,0.45691609977324316
137,65,3,3,2,3,3,2,3,1,3,3,4,0,0,0,0,1,4,4,4,12,5,2,3,4,65,0.6666666666666666,0.8729192917101127,0.313789785917703,0.28482087925735466,-0.2965517241379316,0.4569160997732417
138,65,3,3,3,3,3,3,3,1,2,1,5,0,0,0,0,0,4,4,4,3,4,1,3,3,65,0.6666666666666666,0.27590925600387955,-0.04306257908002515,0.4037681759025664,-1.2965517241379323,0.4569160997732431
14,6,2,3,2,2,2,3,3,3,3,3,5,1,1,1,1,1,4,4,4,12,5,3,3,3,6,1,1.234659546437576,1.7222959622084504,-0.26921003940460114,-1.2965517241379314,0.7902494331065757
141,68,3,4,3,3,3,4,3,3,1,1,4,0,0,0,0,0,4,4,4,5,4,2,1,4,68,0,0.14241738027119794,-0.10232114257044604,0.4907965432253753,-0.29655172413793096,-0.209750566893423
142,68,3,3,2,2,2,2,3,1,1,1,2,0,0,0,0,0,2,4,3,1,4,1,1,5,68,0,-0.3840504402957995,-0.3454126177159711,-0.04650450698175212,0.7034482758620666,-0.2097505668934239
143,68,3,3,2,3,3,3,3,1,1,1,3,0,0,0,0,0,2,4,4,2,3,1,1,4,68,0,-0.5878666883659419,-0.32248569226739116,0.36201030670941337,-0.29655172413793257,-0.20975056689342392
