dv,testvar,spec,ctrl,coef,tstat
neg10s,p12,yes,topic_brw t2 t3,.1592477253515625,1.464863428941484
neg10s,p12,yes,topic_brw t2 i.mdegree,.2061229051974686,1.670591310147994
neg10s,p12,yes,topic_brw t3 i.mdegree,.1943913853207354,1.564875203105705
neg10s,p12,yes,t2 t3 i.mdegree,.2017465919765173,1.576963474766364
neg10s,p12,yes,stats_brw topic_brw t2 t3,.1145431311804692,1.186135508285283
neg10s,p12,yes,stats_brw topic_brw t2 i.mdegree,.1714963362871842,1.839781865205895
neg10s,p12,yes,stats_brw topic_brw t3 i.mdegree,.1685350352088957,1.807989980799966
neg10s,p12,yes,stats_brw t2 t3 i.mdegree,.1775278875755167,1.553616559397243
neg10s,p12,yes,topic_brw t2 t3 i.mdegree,.2270967633523646,1.778761512862385
neg10s,p12,yes,stats_brw topic_brw t2 t3 i.mdegree,.1933431715688052,1.920542259595968
neg10s,p56,yes,,-.1472795489586099,-2.537596757270665
neg10s,p56,yes,stats_brw,-.1446447528077754,-2.531152854260807
neg10s,p56,yes,topic_brw,-.1451307623482636,-2.527450862605083
neg10s,p56,yes,t2,-.1474793426689319,-2.583411386753415
neg10s,p56,yes,t3,-.1464219001782696,-2.573314237125973
neg10s,p56,yes,i.mdegree,-.2033841446053217,-2.836397772242293
neg10s,p56,yes,stats_brw topic_brw,-.1340546425926695,-2.489182972189975
neg10s,p56,yes,stats_brw t2,-.1445666033319068,-2.569421753550429
neg10s,p56,yes,stats_brw t3,-.1434951301817247,-2.564598864907921
neg10s,p56,yes,stats_brw i.mdegree,-.1992542650351459,-2.85389352169436
neg10s,p56,yes,topic_brw t2,-.1453663075252815,-2.583440580537835
neg10s,p56,yes,topic_brw t3,-.1443574785210048,-2.570113865941807
neg10s,p56,yes,topic_brw i.mdegree,-.1993697331253737,-2.707422084775166
neg10s,p56,yes,t2 t3,-.1480639679924483,-2.574098001015417
neg10s,p56,yes,t2 i.mdegree,-.203374645608369,-2.839000373685862
neg10s,p56,yes,t3 i.mdegree,-.2033974612810115,-2.916333183489514
neg10s,p56,yes,stats_brw topic_brw t2,-.1333859416488673,-2.533416352525308
